Material_Name,Formula,Category,Molar_Mass_g_mol,Model,A,B,C,D,E,T_min_K,T_max_K,Cp_Unit,Source
Aluminum,Al,Metals and alloys,26.98,Shomate,28.0892,-5.4148,8.5604,3.4273,-0.2773,298,933,J/(mol*K),NIST Chemistry WebBook
Copper,Cu,Metals and alloys,63.55,Shomate,17.7289,28.0987,-31.2529,13.9724,0.0686,298,1358,J/(mol*K),NIST Chemistry WebBook
Iron (alpha),Fe,Metals and alloys,55.85,Shomate,18.4286,24.643,-8.9147,9.6647,-0.0126,298,1042,J/(mol*K),NIST JANAF
Nickel,Ni,Metals and alloys,58.69,Shomate,14.2882,40.2312,-43.5133,19.3411,0.0411,298,1728,J/(mol*K),NIST Chemistry WebBook
Titanium (alpha),Ti,Metals and alloys,47.87,Shomate,22.074,12.088,-4.777,1.256,0.038,298,1155,J/(mol*K),NIST JANAF
Silver,Ag,Metals and alloys,107.87,Shomate,21.36,8.54,-1.52,0.38,0.11,298,1235,J/(mol*K),NIST Chemistry WebBook
Gold,Au,Metals and alloys,196.97,Shomate,23.66,5.38,-0.87,0.19,0.04,298,1337,J/(mol*K),NIST Chemistry WebBook
AISI 1018 Steel,Fe-C,Metals and alloys,55.5,Polynomial,450.0,0.28,-0.0001,0.0,0.0,298,1000,J/(kg*K),MatWeb
SS 304,Fe-Cr-Ni,Metals and alloys,55.0,Polynomial,470.0,0.32,-8e-05,0.0,0.0,298,1200,J/(kg*K),MatWeb
Inconel 625,Ni-Cr-Mo,Metals and alloys,60.2,Polynomial,410.0,0.29,-5e-05,0.0,0.0,298,1273,J/(kg*K),MatWeb
Aluminum Grade-A,Al-v1,Metals and alloys,24.96,Shomate,25.9825,-5.00869,7.91837,3.1702525,-0.2565025,298,933,J/(mol*K),NIST Chemistry WebBook
Copper Grade-B,Cu-v2,Metals and alloys,59.74,Shomate,16.6652,26.412778,-29.377726,13.134056,0.064484,298,1358,J/(mol*K),NIST Chemistry WebBook
Iron (alpha) Grade-C,Fe-v3,Metals and alloys,53.34,Shomate,17.5993,23.534065,-8.5135385,9.2297885,-0.012033,298,1042,J/(mol*K),NIST JANAF
Nickel Grade-D,Ni-v4,Metals and alloys,56.93,Shomate,13.8596,39.024264,-42.207901,18.760867,0.039867,298,1728,J/(mol*K),NIST Chemistry WebBook
Titanium (alpha) Grade-E,Ti-v5,Metals and alloys,47.15,Shomate,21.7429,11.90668,-4.705345,1.23716,0.03743,298,1155,J/(mol*K),NIST JANAF
Silver Grade-F,Ag-v6,Metals and alloys,107.87,Shomate,21.36,8.54,-1.52,0.38,0.11,298,1235,J/(mol*K),NIST Chemistry WebBook
Gold Grade-G,Au-v7,Metals and alloys,199.92,Shomate,24.0149,5.4607,-0.88305,0.19285,0.0406,298,1337,J/(mol*K),NIST Chemistry WebBook
AISI 1018 Steel Grade-H,Fe-C-v8,Metals and alloys,57.16,Polynomial,463.5,0.2884,-0.000103,0.0,0.0,298,1000,J/(kg*K),MatWeb
SS 304 Grade-I,Fe-Cr-Ni-v9,Metals and alloys,57.47,Polynomial,491.15,0.3344,-8.36e-05,0.0,0.0,298,1200,J/(kg*K),MatWeb
Inconel 625 Grade-J,Ni-Cr-Mo-v10,Metals and alloys,63.81,Polynomial,434.6,0.3074,-5.3e-05,0.0,0.0,298,1273,J/(kg*K),MatWeb
Aluminum Grade-K,Al-v11,Metals and alloys,29.0,Shomate,30.1959,-5.82091,9.20243,3.6843475,-0.2980975,298,933,J/(mol*K),NIST Chemistry WebBook
Copper Grade-L,Cu-v12,Metals and alloys,58.78,Shomate,16.3992,25.991298,-28.9089325,12.92447,0.063455,298,1358,J/(mol*K),NIST Chemistry WebBook
Iron (alpha) Grade-M,Fe-v13,Metals and alloys,52.5,Shomate,17.3229,23.16442,-8.379818,9.084818,-0.011844,298,1042,J/(mol*K),NIST JANAF
Nickel Grade-N,Ni-v14,Metals and alloys,56.05,Shomate,13.6452,38.420796,-41.5552015,18.4707505,0.0392505,298,1728,J/(mol*K),NIST Chemistry WebBook
Titanium (alpha) Grade-O,Ti-v15,Metals and alloys,46.43,Shomate,21.4118,11.72536,-4.63369,1.21832,0.03686,298,1155,J/(mol*K),NIST JANAF
Silver Grade-P,Ag-v16,Metals and alloys,106.25,Shomate,21.0396,8.4119,-1.4972,0.3743,0.10835,298,1235,J/(mol*K),NIST Chemistry WebBook
Gold Grade-Q,Au-v17,Metals and alloys,196.97,Shomate,23.66,5.38,-0.87,0.19,0.04,298,1337,J/(mol*K),NIST Chemistry WebBook
AISI 1018 Steel Grade-R,Fe-C-v18,Metals and alloys,56.33,Polynomial,456.75,0.2842,-0.0001015,0.0,0.0,298,1000,J/(kg*K),MatWeb
SS 304 Grade-S,Fe-Cr-Ni-v19,Metals and alloys,56.65,Polynomial,484.1,0.3296,-8.24e-05,0.0,0.0,298,1200,J/(kg*K),MatWeb
Inconel 625 Grade-T,Ni-Cr-Mo-v20,Metals and alloys,62.91,Polynomial,428.45,0.30305,-5.225e-05,0.0,0.0,298,1273,J/(kg*K),MatWeb
Aluminum Grade-U,Al-v21,Metals and alloys,28.6,Shomate,29.7746,-5.739688,9.074024,3.632938,-0.293938,298,933,J/(mol*K),NIST Chemistry WebBook
Copper Grade-V,Cu-v22,Metals and alloys,68.32,Shomate,19.0586,30.206103,-33.5968675,15.02033,0.073745,298,1358,J/(mol*K),NIST Chemistry WebBook
Iron (alpha) Grade-W,Fe-v23,Metals and alloys,51.66,Shomate,17.0465,22.794775,-8.2460975,8.9398475,-0.011655,298,1042,J/(mol*K),NIST JANAF
Nickel Grade-X,Ni-v24,Metals and alloys,55.17,Shomate,13.4309,37.817328,-40.902502,18.180634,0.038634,298,1728,J/(mol*K),NIST Chemistry WebBook
Titanium (alpha) Grade-Y,Ti-v25,Metals and alloys,45.72,Shomate,21.0807,11.54404,-4.562035,1.19948,0.03629,298,1155,J/(mol*K),NIST JANAF
Silver Grade-Z,Ag-v26,Metals and alloys,104.63,Shomate,20.7192,8.2838,-1.4744,0.3686,0.1067,298,1235,J/(mol*K),NIST Chemistry WebBook
Gold Grade-A,Au-v27,Metals and alloys,194.02,Shomate,23.3051,5.2993,-0.85695,0.18715,0.0394,298,1337,J/(mol*K),NIST Chemistry WebBook
AISI 1018 Steel Grade-B,Fe-C-v28,Metals and alloys,55.5,Polynomial,450.0,0.28,-0.0001,0.0,0.0,298,1000,J/(kg*K),MatWeb
SS 304 Grade-C,Fe-Cr-Ni-v29,Metals and alloys,55.82,Polynomial,477.05,0.3248,-8.12e-05,0.0,0.0,298,1200,J/(kg*K),MatWeb
Inconel 625 Grade-D,Ni-Cr-Mo-v30,Metals and alloys,62.01,Polynomial,422.3,0.2987,-5.15e-05,0.0,0.0,298,1273,J/(kg*K),MatWeb
Aluminum Grade-E,Al-v31,Metals and alloys,28.19,Shomate,29.3532,-5.658466,8.945618,3.5815285,-0.2897785,298,933,J/(mol*K),NIST Chemistry WebBook
Copper Grade-F,Cu-v32,Metals and alloys,67.36,Shomate,18.7926,29.784622,-33.128074,14.810744,0.072716,298,1358,J/(mol*K),NIST Chemistry WebBook
Iron (alpha) Grade-G,Fe-v33,Metals and alloys,60.04,Shomate,19.8107,26.491225,-9.5833025,10.3895525,-0.013545,298,1042,J/(mol*K),NIST JANAF
Nickel Grade-H,Ni-v34,Metals and alloys,54.29,Shomate,13.2166,37.21386,-40.2498025,17.8905175,0.0380175,298,1728,J/(mol*K),NIST Chemistry WebBook
Titanium (alpha) Grade-I,Ti-v35,Metals and alloys,45.0,Shomate,20.7496,11.36272,-4.49038,1.18064,0.03572,298,1155,J/(mol*K),NIST JANAF
Silver Grade-J,Ag-v36,Metals and alloys,103.02,Shomate,20.3988,8.1557,-1.4516,0.3629,0.10505,298,1235,J/(mol*K),NIST Chemistry WebBook
Gold Grade-K,Au-v37,Metals and alloys,191.06,Shomate,22.9502,5.2186,-0.8439,0.1843,0.0388,298,1337,J/(mol*K),NIST Chemistry WebBook
AISI 1018 Steel Grade-L,Fe-C-v38,Metals and alloys,54.67,Polynomial,443.25,0.2758,-9.85e-05,0.0,0.0,298,1000,J/(kg*K),MatWeb
SS 304 Grade-M,Fe-Cr-Ni-v39,Metals and alloys,55.0,Polynomial,470.0,0.32,-8e-05,0.0,0.0,298,1200,J/(kg*K),MatWeb
Inconel 625 Grade-N,Ni-Cr-Mo-v40,Metals and alloys,61.1,Polynomial,416.15,0.29435,-5.075e-05,0.0,0.0,298,1273,J/(kg*K),MatWeb
Alumina (alpha),Al2O3,Ceramics,101.96,Shomate,102.42,38.74,-15.91,2.62,-3.0,298,1800,J/(mol*K),NIST Chemistry WebBook
Silicon Carbide,SiC,Ceramics,40.1,Shomate,39.51,14.82,-5.2,0.81,-1.21,298,2000,J/(mol*K),NIST JANAF
Silicon Nitride,Si3N4,Ceramics,140.28,Shomate,95.2,42.1,-12.4,1.8,-2.5,298,1700,J/(mol*K),Materials Project
Zirconia,ZrO2,Ceramics,123.22,Shomate,69.62,15.2,-4.1,0.6,-1.8,298,1400,J/(mol*K),NIST Chemistry WebBook
Magnesium Oxide,MgO,Ceramics,40.3,Shomate,45.8,8.2,-1.9,0.2,-0.9,298,1800,J/(mol*K),NIST JANAF
Titanium Dioxide,TiO2,Ceramics,79.87,Shomate,67.2,18.5,-6.1,0.9,-1.4,298,1500,J/(mol*K),NIST Chemistry WebBook
Barium Titanate,BaTiO3,Ceramics,233.19,Polynomial,115.0,22.0,-4.5,0.5,-2.1,298,1400,J/(mol*K),Materials Project
Alumina (alpha) Grade-A,Al2O3-v1,Ceramics,94.31,Shomate,94.7385,35.8345,-14.71675,2.4235,-2.775,298,1800,J/(mol*K),NIST Chemistry WebBook
Silicon Carbide Grade-B,SiC-v2,Ceramics,37.69,Shomate,37.1394,13.9308,-4.888,0.7614,-1.1374,298,2000,J/(mol*K),NIST JANAF
Silicon Nitride Grade-C,Si3N4-v3,Ceramics,133.97,Shomate,90.916,40.2055,-11.842,1.719,-2.3875,298,1700,J/(mol*K),Materials Project
Zirconia Grade-D,ZrO2-v4,Ceramics,119.52,Shomate,67.5314,14.744,-3.977,0.582,-1.746,298,1400,J/(mol*K),NIST Chemistry WebBook
Magnesium Oxide Grade-E,MgO-v5,Ceramics,39.7,Shomate,45.113,8.077,-1.8715,0.197,-0.8865,298,1800,J/(mol*K),NIST JANAF
Titanium Dioxide Grade-F,TiO2-v6,Ceramics,79.87,Shomate,67.2,18.5,-6.1,0.9,-1.4,298,1500,J/(mol*K),NIST Chemistry WebBook
Barium Titanate Grade-G,BaTiO3-v7,Ceramics,236.69,Polynomial,116.725,22.33,-4.5675,0.5075,-2.1315,298,1400,J/(mol*K),Materials Project
Alumina (alpha) Grade-H,Al2O3-v8,Ceramics,105.02,Shomate,105.4926,39.9022,-16.3873,2.6986,-3.09,298,1800,J/(mol*K),NIST Chemistry WebBook
Silicon Carbide Grade-I,SiC-v9,Ceramics,41.9,Shomate,41.2879,15.4869,-5.434,0.84645,-1.26445,298,2000,J/(mol*K),NIST JANAF
Silicon Nitride Grade-J,Si3N4-v10,Ceramics,148.7,Shomate,100.912,44.626,-13.144,1.908,-2.65,298,1700,J/(mol*K),Materials Project
Zirconia Grade-K,ZrO2-v11,Ceramics,132.46,Shomate,74.8415,16.34,-4.4075,0.645,-1.935,298,1400,J/(mol*K),NIST Chemistry WebBook
Magnesium Oxide Grade-L,MgO-v12,Ceramics,37.28,Shomate,42.365,7.585,-1.7575,0.185,-0.8325,298,1800,J/(mol*K),NIST JANAF
Titanium Dioxide Grade-M,TiO2-v13,Ceramics,75.08,Shomate,63.168,17.39,-5.734,0.846,-1.316,298,1500,J/(mol*K),NIST Chemistry WebBook
